"id","pin","address","managing_organization","property_status","date_of_acquisition","date_of_disposition","sales_status","sale_offering_status","sale_offering_reason","sq_ft","square_footage_city_estimate","land_value","ward","community_area_number","community_area_name","zoning_classification","zip_code","last_update","application_use","grouped_parcels","application_deadline","offer_round","application_url","x_coordinate","y_coordinate","latitude","longitude","location"
"22174","25-25-207-024-0000",,"Park District","Leased","2002-01-09T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"22378","25-25-208-031-0000",,"DPD - Open Space","Owned by City","2001-10-03T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"23337","25-25-202-043-0000",,"DPD - Open Space","Owned by City","2001-11-09T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"23807","25-03-400-012-0000","429 E 91ST ST","DPD - Large Lots","Sold",,"2020-09-14T00:00:00.000",,,,"0.0",,,"8","44","CHATHAM","RS-2","60619","03/14/2024",,,,,,"1180843.039875","1844644.78000001","41.72895458545699","-87.61311734900835","
,  
(41.72895458545699, -87.61311734900835)"
"23417","25-25-203-010-0000",,"DPD - Open Space","Owned by City","2001-11-09T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"23431","25-25-203-024-0000",,"DPD - Open Space","Owned by City","2001-11-09T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"23495","25-24-406-043-0000",,"Park District","Leased","2001-11-06T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"23673","25-19-211-029-0000","11242 S VINCENNES AVE","None","Sold",,,,,,"0.0",,,"19","75","MORGAN PARK","RS-3","60643","03/14/2024",,,,,,"1166583.7486604","1829928.3687451","41.688885914722476","-87.66577045383355","
,  
(41.688885914722476, -87.66577045383355)"
"23018","25-25-214-048-0000",,"Park District","Leased","2002-01-23T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"23207","25-25-201-034-0000",,"DPD - Open Space","Owned by City","2001-10-18T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"23220","25-25-201-047-0000",,"DPD - Open Space","Owned by City","2001-10-18T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"8218","16-02-228-030-0000","3222 W DIVISION ST","None","Sold","2002-09-26T00:00:00.000","2005-10-27T00:00:00.000",,,,"3103.0",,,"26","23","HUMBOLDT PARK","B1-2","60651","03/14/2024",,,,,,"1154452.55409727","1907899.38150618","41.90309891359026","-87.70810659881111","
,  
(41.90309891359026, -87.70810659881111)"
"7950","14-19-435-038-0000","1635 W MELROSE ST","Revenue Lot","Owned by City",,,,,,"0.0",,,"32","06","LAKE VIEW","B3-1","60657","03/14/2024",,,,,,"1164515.58007754","1921537.26996436","41.940314920846994","-87.67075606505891","
,  
(41.940314920846994, -87.67075606505891)"
"8030","16-01-321-015-0000","812 N SACRAMENTO BLVD WEST","None","Sold",,,,,,"3739.0",,,"27","23","HUMBOLDT PARK","M1-2","60622","03/14/2024",,,,,,"1155964.614777343","1905325.24204816","41.896004868396965","-87.7026219903283","
,  
(41.896004868396965, -87.7026219903283)"
"7559","13-16-220-025-0000",,"AIS","Owned by City",,,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"7630","13-33-408-002-0000",,"DPD - Planning","Sold",,"2021-08-19T00:00:00.000",,,,"0.0",,,,,,,"00000","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"13316","17-05-307-008-0000",,"DPD - Open Space","Owned by City",,,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"25076","26-08-116-032-0000","10054 S EWING AVE","None","Sold",,,,,,"3082.0",,,"10","52","EAST SIDE","C1-1","60617","03/14/2024",,,,,,"1202045.00010091","1838762.90006437","41.71230120531423","-87.53565079257638","
,  
(41.71230120531423, -87.53565079257638)"
"24314","25-07-202-008-0000","9513 S LONGWOOD DR","Revenue Lot","Owned by City",,,,,,"0.0",,,"19","72","BEVERLY","B1-1","60643","03/14/2024",,,,,,"1165679.77390274","1841497.80519029","41.72065353294579","-87.66875302065127","
,  
(41.72065353294579, -87.66875302065127)"
"24417","25-24-215-014-0000",,"Park District","Leased","2001-10-10T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"24470","25-16-425-006-0000","11025 S WENTWORTH AVE","None","Sold",,,,,,"0.0",,,"9","49","ROSELAND","B1-3","60628","03/14/2024",,,,,,"1176997.61040635","1831823.90931513","41.69385977799868","-87.6275889315221","
,  
(41.69385977799868, -87.6275889315221)"
"47533","13-12-316-012-0000",,"Obsolete PIN","Owned by City",,,,,,,,,,,,,,"03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"47531","13-12-316-010-0000","4827 N SACRAMENTO AVE","DPD - Open Space","Leased","2009-07-28T00:00:00.000",,,,,"0.0",,,"33","14","ALBANY PARK","POS-1","60625","03/14/2024",,,,,,"1155540.39568808","1932130.31277348","41.96956852878984","-87.70345677932602","
,  
(41.96956852878984, -87.70345677932602)"
"24601","25-09-324-005-0000","10211 S HALSTED ST","None","Sold",,,,,,"2708.0",,,"21","73","WASHINGTON HEIGHTS","B3-1","60628","03/14/2024",,,,,,"1172885.63439846","1837070.43041767","41.70834849589234","-87.642489760975","
,  
(41.70834849589234, -87.642489760975)"
"47567","20-16-214-028-0000",,"DPD - Open Space","Owned by City",,,,,,,,,,,,,,"03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"24661","21-32-205-008-0000","8421 S BURLEY AVE","DPD - Large Lots","Sold",,"2017-12-14T00:00:00.000",,,,"0.0",,,"10","46","SOUTH CHICAGO","RT-4","60617","03/14/2024",,,,,,"1199371.26983693","1849678.34005563","41.74232158860807","-87.54507646696703","
,  
(41.74232158860807, -87.54507646696703)"
"24812","25-12-100-023-0000",,"None","Sold",,,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"24945","26-30-401-037-0000",,"DPD - Open Space","Owned by City",,,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"24966","26-30-405-040-0000",,"DPD - Open Space","Owned by City",,,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"24092","25-05-119-018-0000","8916 S LOOMIS ST","None","Sold",,"2017-06-29T00:00:00.000",,,,"0.0",,,"21","73","WASHINGTON HEIGHTS","B2-1.5","0","03/14/2024",,,,,,"1168466.44992708","1845526.5999391","41.73164966033884","-87.65843036047922","
,  
(41.73164966033884, -87.65843036047922)"
"25014","26-06-405-033-0000","3126 E 92ND ST","None","Sold",,,,,,"2873.0",,,"10","46","SOUTH CHICAGO","RS-2","60617","03/14/2024",,,,,,"1198827.81","1844659.49000001","41.72856312440382","-87.54723561494703","
,  
(41.72856312440382, -87.54723561494703)"
"8752","16-09-405-001-0000","325 N LAMON AVE","DPD - Real Estate","Sold",,"2017-05-04T00:00:00.000",,,,"0.0",,"8500.0","28","25","AUSTIN","C1-2","60644","03/14/2024",,,,,,"1143728.80343325","1901817.14344303","41.886616269725266","-87.74764997291544","
,  
(41.886616269725266, -87.74764997291544)"
"9688","16-14-216-007-0000","3553 W FIFTH AVE","None","Sold",,,,,,"4366.0",,,"28","27","EAST GARFIELD PARK","B3-3","60624","03/14/2024",,,,,,"1152677.39035117","1897919.40021769","41.875748153709324","-87.71489137472327","
,  
(41.875748153709324, -87.71489137472327)"
"10651","16-14-200-014-0000","3501 W MADISON ST","None","Sold",,,,,,"20131.0",,,"28","27","EAST GARFIELD PARK","B3-3","60624","03/14/2024",,,,,,"1152933.55422231","1899656.08652411","41.880508736382644","-87.71390480910146","
,  
(41.880508736382644, -87.71390480910146)"
"11612","16-13-104-019-0000","2942 W FIFTH AVE","DPD - Large Lots","Sold",,,,,,"1195.0",,,"27","27","EAST GARFIELD PARK","RT-4","0","03/14/2024",,,,,,"1156632.76098875","1899542.13681702","41.880121978803516","-87.70032470581923","
,  
(41.880121978803516, -87.70032470581923)"
"8761","16-11-101-006-0000","3913 W CHICAGO AVE","None","Sold",,,,,,"0.0",,,"37","23","HUMBOLDT PARK","C1-1","60651","03/14/2024",,,,,,"1150080.45999638","1904954.40005913","41.89510390406114","-87.7242430824002","
,  
(41.89510390406114, -87.7242430824002)"
"9992","16-15-125-026-0000","4706 W HARRISON ST","None","Sold",,,,,,"15045.0",,,"24","25","AUSTIN","M1-2","60644","03/14/2024",,,,,,"1144989.78346914","1897038.2051751","41.873478579749516","-87.74313996562476","
,  
(41.873478579749516, -87.74313996562476)"
"11931","17-18-312-067-0000","2126 W POLK ST","AIS","Owned by City","1995-06-21T00:00:00.000",,,,,"0.0",,,"28","28","NEAR WEST SIDE","PD 30","0","03/14/2024",,,,,,"1162501.78877324","1896497.61784527","41.87164674028545","-87.67885956242233","
,  
(41.87164674028545, -87.67885956242233)"
"11929","17-18-307-067-0000","752 S LEAVITT ST","None","Sold","1977-08-22T00:00:00.000","1985-06-10T00:00:00.000",,,,"0.0",,,"28","28","NEAR WEST SIDE","PD 30","0","03/14/2024",,,,,,"1161743.76011271","1896469.47514001","41.87158534030206","-87.68164336993524","
,  
(41.87158534030206, -87.68164336993524)"
"10046","16-14-309-028-0000","3936 W POLK ST","None","Sold",,,,,,"3125.0",,,"24","26","WEST GARFIELD PARK","RT-4","60624","03/14/2024",,,,,,"1150113.70967163","1896169.38465981","41.87099621615327","-87.72434992411996","
,  
(41.87099621615327, -87.72434992411996)"
"11037","16-12-416-020-0000","2515 W LAKE ST","DPD - Business Development","Owned by City",,,"None","CBB 2022-2023 not offered due to:","Prior sale in progress","0.0",,,"27","28","NEAR WEST SIDE","PMD-4","60612","03/14/2024",,,,,,"1159654.04999486","1901076.81006017","41.88427157619205","-87.68918857194222","
,  
(41.88427157619205, -87.68918857194222)"
"9156","16-11-401-008-0000","3440 W CARROLL AVE","DPD - Large Lots","Sold",,,,,,"3989.0",,,"28","27","EAST GARFIELD PARK","RT-4","60624","03/14/2024",,,,,,"1153199.2095048","1902294.58933203","41.88774379338641","-87.71285929344758","
,  
(41.88774379338641, -87.71285929344758)"
"11900","17-15-309-010-0000","1147 S WABASH AVE","None","Sold",,,,,,"4286.0",,,"4","32","LOOP","PD 815","60605","03/14/2024",,,,,,"1177087.41462553","1895305.03023116","41.86805655556635","-87.62534651871067","
,  
(41.86805655556635, -87.62534651871067)"
"10189","16-22-115-025-0000","1520 S KILBOURN AVE","None","Sold",,,,,,"3075.0",,,"24","29","NORTH LAWNDALE","RT-4","60623","03/14/2024",,,,,,"1146543.65823113","1892069.47521741","41.85981430985136","-87.7375614560473","
,  
(41.85981430985136, -87.7375614560473)"
"11206","16-13-313-019-0000","3015 W POLK ST","DPD - Large Lots","Sold",,,,,,"3121.0",,,"28","27","EAST GARFIELD PARK","RT-4","60612","03/14/2024",,,,,,"1156326.59427927","1896119.72297127","41.87073672122104","-87.70154142008637","
,  
(41.87073672122104, -87.70154142008637)"
"58830","17-20-100-011-0000","1523 W ROOSEVELT RD","DOH","Owned by City",,,"None","CBB 2022-2023 not offered due to:","Prior sale in progress","0.0",,,"28","28","NEAR WEST SIDE","PD 896","60608","03/14/2024",,,,,,"1166276.00951871","1894686.62468143","41.86659742058459","-87.66505470007276","
,  
(41.86659742058459, -87.66505470007276)"
"10301","16-23-103-029-0000",,"DPD - Large Lots","Sold",,"2018-03-20T00:00:00.000",,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"11319","16-13-319-019-0000","2815 W ARTHINGTON ST","None","Sold","1981-11-25T00:00:00.000","2012-12-11T00:00:00.000",,,,"0.0",,,"28","27","EAST GARFIELD PARK","RT-4","60612","03/14/2024",,,,,,"1157654.78043118","1895818.00547218","41.869881848932245","-87.69667339178142","
,  
(41.869881848932245, -87.69667339178142)"
"9447","16-12-307-019-0000",,"None","Sold","1998-06-08T00:00:00.000","1999-12-01T00:00:00.000",,,,"42157.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"10403","16-14-325-042-0000","3610 W GRENSHAW ST","None","Sold",,,,,,"3125.0",,,"24","29","NORTH LAWNDALE","RT-4","60624","03/14/2024",,,,,,"1152399.59428156","1894895.30601219","41.86745519389073","-87.71599120159713","
,  
(41.86745519389073, -87.71599120159713)"
"10559","16-14-109-034-0000","320 S HAMLIN BLVD","None","Sold",,,,,,"7499.0",,,"28","26","WEST GARFIELD PARK","RM-5","0","03/14/2024",,,,,,"1150992.89991236","1898142.29525521","41.87639294209322","-87.72107040891005","
,  
(41.87639294209322, -87.72107040891005)"
"21737","20-21-323-001-0000","7001 S UNION AVE","None","Sold",,,,,,"0.0",,,"6","68","ENGLEWOOD","RS-3","60621","03/14/2024",,,,,,"1172942.97309316","1858413.24162851","41.76691476575456","-87.64165161782924","
,  
(41.76691476575456, -87.64165161782924)"
"19058","20-08-123-016-0000","1223 W 49TH PL","None","Sold",,,,,,"3002.0",,,"20","61","NEW CITY","RS-3","60609","03/14/2024",,,,,,"1168903.97482299","1871862.95855921","41.80391056819253","-87.6560678305425","
,  
(41.80391056819253, -87.6560678305425)"
"21837","25-25-205-008-0000",,"Park District","Leased","2002-01-09T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"21911","25-24-413-032-0000",,"Park District","Leased","2001-07-16T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"62811","17-27-409-073-0000",,"AIS","Owned by City",,,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"22111","25-24-414-044-0000",,"Park District","Leased","2001-10-19T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"19296","20-30-224-007-0000","1625 W 74TH ST","Obsolete PIN","Sold","2002-08-26T00:00:00.000","2018-02-16T00:00:00.000",,,,"0.0",,"53000.0","17","67","WEST ENGLEWOOD","M2-2","0","03/14/2024",,,,,,"1166891.86510009","1855571.30702973","41.75924750663142","-87.66391242290803","
,  
(41.75924750663142, -87.66391242290803)"
"19276","20-28-209-013-0000","7249 S HARVARD AVE","DPD - Large Lots","Sold",,,,,,"6349.0",,,"6","69","GREATER GRAND CROSSING","RM-5","60621","03/14/2024",,,,,,"1175314.3007351","1856651.6242702","41.76202802617664","-87.63301236230674","
,  
(41.76202802617664, -87.63301236230674)"
"21073","20-23-211-008-0000",,"None","Sold","1978-09-22T00:00:00.000","2008-01-22T00:00:00.000",,,,"2170.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"19370","21-30-301-003-0000","2445 E 75TH ST","None","Sold",,,,,,"10248.0",,,"7","43","SOUTH SHORE","B3-2","60649","03/14/2024",,,,,,"1194019.85680326","1855616.49762558","41.758749211973864","-87.56448920807321","
,  
(41.758749211973864, -87.56448920807321)"
"19431","20-32-102-005-0000","1435 W 79TH ST","None","Sold",,"2005-01-11T00:00:00.000",,,,"6144.0",,,"17","71","AUBURN GRESHAM","B1-1","60620","03/14/2024",,,,,,"1167978.55519747","1852276.47369799","41.75018276160709","-87.66002424357706","
,  
(41.75018276160709, -87.66002424357706)"
"21248","20-20-224-006-0000","6617 S RACINE AVE","DPD - Large Lots","Sold",,,,,,"0.0",,,"16","68","ENGLEWOOD","RT-4","60636","03/14/2024",,,,,,"1169556.17247247","1860787.36082804","41.773503712993126","-87.6539968480063","
,  
(41.773503712993126, -87.6539968480063)"
"21288","20-19-110-013-0000","6441 S OAKLEY AVE","None","Sold",,,,,,"0.0",,,"16","66","CHICAGO LAWN","POS-2","60636","03/14/2024",,,,,,"1162280.57329688","1861698.06555709","41.77615742418359","-87.68064231450089","
,  
(41.77615742418359, -87.68064231450089)"
"19479","25-24-421-028-0000",,"Park District","Leased","2001-10-03T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"20408","20-19-406-026-0000","6759 S PAULINA ST","DPD - Large Lots","Sold",,"2017-12-08T00:00:00.000",,,,"0.0",,,"16","67","WEST ENGLEWOOD","RS-3","60636","03/14/2024",,,,,,"1166276.90680926","1859656.96452812","41.770472210470885","-87.6660500652961","
,  
(41.770472210470885, -87.6660500652961)"
"68241","16-08-415-048-1001",,"None","Owned by City","2002-09-19T00:00:00.000",,,,,,,,,,,,,"03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"19583","20-32-206-006-0000","835 W 79TH ST","None","Sold","1996-10-11T00:00:00.000","1998-12-16T00:00:00.000",,,,"5650.0",,,"17","71","AUBURN GRESHAM","B3-5","0","03/14/2024",,,,,,"1171951.89538906","1852379.0787661","41.75037807658798","-87.6454611588336","
,  
(41.75037807658798, -87.6454611588336)"
"18701","20-10-100-025-0000","4718 S WABASH AVE","None","Sold",,"2013-04-18T00:00:00.000",,,,"3880.0",,,"3","38","GRAND BOULEVARD","RT-4","60615","03/14/2024",,,,,,"1177381.6946739","1873659.06023833","41.808651715232706","-87.62492157936171","
,  
(41.808651715232706, -87.62492157936171)"
"20501","20-19-415-002-0000","6803 S MARSHFIELD AVE","DPD - Large Lots","Sold",,"2014-04-21T00:00:00.000",,,,"0.0",,,"17","67","WEST ENGLEWOOD","RS-3","60636","03/14/2024",,,,,,"1166610.0902063","1859548.53000503","41.77016755181478","-87.66483183458777","
,  
(41.77016755181478, -87.66483183458777)"
"18792","20-10-104-021-0000","4728 S CALUMET AVE","None","Sold",,,,,,"15752.0",,,"3","38","GRAND BOULEVARD","RM-5","60615","03/14/2024",,,,,,"1179135.6301728","1873612.1500618","41.808483136840124","-87.61849001307534","
,  
(41.808483136840124, -87.61849001307534)"
"18827","25-25-213-032-0000",,"Park District","Leased","2002-01-17T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"15166","20-02-403-035-0000","1322 E 47TH ST","None","Sold",,,,,,"1100.0",,,"4","39","KENWOOD","PD 640","60653","03/14/2024",,,,,,"1185761.99412482","1874205.26298568","41.80995686650261","-87.59416762217893","
,  
(41.80995686650261, -87.59416762217893)"
"16227","17-28-104-002-0000",,"None","Sold",,,,,,"23255.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"17369","20-17-419-007-0000","1001 W 61ST ST","DPD - Large Lots","Sold",,,,,,"8872.0",,,"16","68","ENGLEWOOD","RS-3","60621","03/14/2024",,,,,,"1170623.92475349","1864275.62848719","41.78305272342543","-87.64998109803263","
,  
(41.78305272342543, -87.64998109803263)"
"16372","20-18-207-008-0000","5517 S MARSHFIELD AVE","None","Sold","2000-01-15T00:00:00.000","2006-02-01T00:00:00.000",,,,"2914.0",,,"16","67","WEST ENGLEWOOD","RS-3","60636","03/14/2024",,,,,,"1166378.57258611","1867897.03549815","41.79308184004086","-87.66544278831549","
,  
(41.79308184004086, -87.66544278831549)"
"17476","20-17-424-035-0000","1148 W 63RD ST","DPD - Real Estate","Sold","2000-06-02T00:00:00.000",,,,,"0.0",,"16000.0","16","68","ENGLEWOOD","C1-2","60621","03/14/2024",,,,,,"1169542.40006129","1863110.49995558","41.779878988999016","-87.65398005888187","
,  
(41.779878988999016, -87.65398005888187)"
"18490","20-09-408-004-0000","319 W 52ND ST","None","Sold",,,,,,"0.0",,,"20","37","FULLER PARK","RS-3","60609","03/14/2024",,,,,,"1174938.33688791","1870380.89777835","41.79971103576008","-87.63398105971132","
,  
(41.79971103576008, -87.63398105971132)"
"17475","20-17-424-034-0000","1150 W 63RD ST","DPD - Real Estate","Sold","2000-06-14T00:00:00.000",,,,,"0.0",,"16000.0","16","68","ENGLEWOOD","C1-2","60621","03/14/2024",,,,,,"1169517.40006371","1863109.82016944","41.779877665532396","-87.65407173197431","
,  
(41.779877665532396, -87.65407173197431)"
"18503","20-09-410-044-0000","5252 S WELLS ST","DPD - Large Lots","Sold",,"2017-12-08T00:00:00.000",,,,"0.0",,,"20","37","FULLER PARK","RS-3","60609","03/14/2024",,,,,,"1175415.65009977","1869924.95994916","41.79844922740704","-87.6322442701245","
,  
(41.79844922740704, -87.6322442701245)"
"15526","17-34-309-034-0000","3627 S INDIANA AVE","DPD - Large Lots","Sold",,"2017-12-07T00:00:00.000",,,,"0.0",,,"3","35","DOUGLAS","RM-5","60653","03/14/2024",,,,,,"1178291.55474767","1880999.990327","41.828775208074234","-87.62136134138842","
,  
(41.828775208074234, -87.62136134138842)"
"15543","19-13-401-006-0000","2711 W 59TH ST","None","Sold",,,,,,"0.0",,,"16","66","CHICAGO LAWN","B3-1","60629","03/14/2024",,,,,,"1159232.91","1865324.94000001","41.78617300930211","-87.69171568718585","
,  
(41.78617300930211, -87.69171568718585)"
"15592","17-34-310-065-0000","3538 S GILES AVE","None","Sold",,"2002-10-02T00:00:00.000",,,,"0.0",,,"3","35","DOUGLAS","RM-5","60653","03/14/2024",,,,,,"1178753.51982376","1881410.69000467","41.82989168114363","-87.61965392044154","
,  
(41.82989168114363, -87.61965392044154)"
"67719","20-23-224-017-0000","1349 E MARQUETTE RD","DOH","Sold by City",,,,,,,,,"20","42","WOODLAWN","RT-4",,"03/14/2024",,,,,,"1186283.69033387","1861395.32252988","41.774793061882704","-87.59265894181108","
,  
(41.774793061882704, -87.59265894181108)"
"17626","20-16-301-062-0000","638 W 60TH ST","DPD - Large Lots","Sold",,,,,,"0.0",,,"16","68","ENGLEWOOD","RS-3","60621","03/14/2024",,,,,,"1172905.46811061","1864970.8987293","41.78491056130545","-87.64159574637559","
,  
(41.78491056130545, -87.64159574637559)"
"14795","20-04-212-075-0000",,"None","Sold",,,,,,"28647.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"17781","20-10-206-007-0000","4725 S EVANS AVE","None","Sold","1984-08-03T00:00:00.000","2013-02-13T00:00:00.000",,,,"2370.0",,,"4","38","GRAND BOULEVARD","PD 1095","60615","03/14/2024",,,,,,"1182093.8506902393","1873733.7693947386","41.80874883762693","-87.60763628370015","
,  
(41.80874883762693, -87.60763628370015)"
"51114","20-09-419-008-0000","5321 S WENTWORTH AVE","AIS","Owned by City",,,,,,"0.0",,,"20","37","FULLER PARK","M1-2","0","03/14/2024",,,,,,"1175941.40093038","1869546.52602569","41.7973989845157","-87.63032759852943","
,  
(41.7973989845157, -87.63032759852943)"
"14982","20-03-404-012-0000","4333 S CHAMPLAIN AVE","DPD - Large Lots","Sold",,"2018-03-19T00:00:00.000",,,,"0.0",,,"4","38","GRAND BOULEVARD","RT-4","60653","03/14/2024",,,,,,"1181419.87574447","1876274.21874234","41.81573562221509","-87.61002982799815","
,  
(41.81573562221509, -87.61002982799815)"
"15966","17-21-318-021-0000","1910 S CANALPORT AVE","None","Sold",,,,,,"2500.0",,,"25","31","LOWER WEST SIDE","RT-4","60616","03/14/2024",,,,,,"1172471.14997712","1891156.53006541","41.85677598627109","-87.6424161191442","
,  
(41.85677598627109, -87.6424161191442)"
"15093","20-05-102-011-0000","4011 S PACKERS AVE","None","Sold",,,,,,"37074.0",,,"11","61","NEW CITY","PMD 8","60609","03/14/2024",,,,,,"1168206.64123061","1878029.5361151","41.82084737028748","-87.65844769695228","
,  
(41.82084737028748, -87.65844769695228)"
