"tow_date","make","style","model","color","plate","state","towed_to_address","tow_facility_phone","inventory_number"
"2024-05-11T00:00:00.000","CHEV","LL",,"BLU","S341848","IL","701 N. Sacramento","(773) 265-7605","7090504"
"2024-05-11T00:00:00.000","CHEV","LL","TK","GLD","533CZK","IN","10300 S. Doty","(773) 568-8495","2969077"
"2024-05-11T00:00:00.000","CHEV","LL",,"BLU","DD25210","IL","701 N. Sacramento","(773) 265-7605","7090557"
"2024-05-11T00:00:00.000","CHEV","LL",,"ONG","BQ96614","IL","701 N. Sacramento","(773) 265-7605","7090547"
"2024-05-11T00:00:00.000","CHEV","LL","BLZ","TAN",,,"10300 S. Doty","(773) 568-8495","2969067"
"2024-05-11T00:00:00.000","CHEV","PK",,"WHI","3453964B","IL","701 N. Sacramento","(773) 265-7605","7090577"
"2024-05-11T00:00:00.000","CHEV","PK",,"WHI","3774155B","IL","701 N. Sacramento","(773) 265-7605","7090515"
"2024-05-11T00:00:00.000","CHEV","PK",,"WHI","2762226B","IL","701 N. Sacramento","(773) 265-7605","7090495"
"2024-05-11T00:00:00.000","CHEV","SW",,"WHI","CW42131","IL","701 N. Sacramento","(773) 265-7605","7090520"
"2024-05-11T00:00:00.000","CHEV","VN",,"WHI","2485191B","IL","701 N. Sacramento","(773) 265-7605","7090569"
"2024-05-11T00:00:00.000","CHRY","4D",,"WHI","DC74115","IL","701 N. Sacramento","(773) 265-7605","7090568"
"2024-05-11T00:00:00.000","CHRY","4D",,"SIL","EF74607","IL","400 E. Lower Wacker","(312) 744-7550","0302749"
"2024-05-11T00:00:00.000","CHRY","4D",,"GRY","DL37101","IL","10300 S. Doty","(773) 568-8495","2969065"
"2024-05-11T00:00:00.000","CHRY","SW",,"DGR","X459325","IL","10300 S. Doty","(773) 568-8495","2969074"
"2024-05-11T00:00:00.000","DODG","4D",,"GRY","FP232024","IL","701 N. Sacramento","(773) 265-7605","7090530"
"2024-05-11T00:00:00.000","DODG","4D",,"DBL","FP202478","IL","701 N. Sacramento","(773) 265-7605","7090541"
"2024-05-11T00:00:00.000","DODG","LL",,"GRY","DQ31403","IL","701 N. Sacramento","(773) 265-7605","7090519"
"2024-05-11T00:00:00.000","DODG","LL","TK","WHI","EG71211","IL","701 N. Sacramento","(773) 265-7605","7090562"
"2024-05-11T00:00:00.000","FORD","2T",,"WHI","DY55689","IL","701 N. Sacramento","(773) 265-7605","7090572"
"2024-05-11T00:00:00.000","FORD","2T",,"BLK","DB81519","IL","701 N. Sacramento","(773) 265-7605","7090555"
"2024-05-11T00:00:00.000","FORD","4D","FOC","WHI","EF36286","IL","10300 S. Doty","(773) 568-8495","2969053"
"2024-05-11T00:00:00.000","FORD","4D",,"SIL","EG30715","IL","701 N. Sacramento","(773) 265-7605","7090587"
"2024-05-11T00:00:00.000","FORD","4D",,"SIL","EL35342","IL","10300 S. Doty","(773) 568-8495","2969054"
"2024-05-11T00:00:00.000","FORD","4D",,"WHI","61541R","IN","10300 S. Doty","(773) 568-8495","2969078"
"2024-05-11T00:00:00.000","FORD","LL",,"DBL","CW24855","IL","701 N. Sacramento","(773) 265-7605","7090497"
"2024-05-11T00:00:00.000","FORD","LL",,"SIL","R728199","IN","400 E. Lower Wacker","(312) 744-7550","0302715"
"2024-05-11T00:00:00.000","FORD","LL",,"BLK",,"IL","701 N. Sacramento","(773) 265-7605","7090576"
"2024-05-11T00:00:00.000","FORD","LL",,"BLK","DK56003","IL","701 N. Sacramento","(773) 265-7605","7090503"
"2024-05-11T00:00:00.000","FORD","LL",,"CRM","EN13993","IL","701 N. Sacramento","(773) 265-7605","7090548"
"2024-05-11T00:00:00.000","FORD","LL","TK","WHI","EC37408","IL","701 N. Sacramento","(773) 265-7605","7090560"
"2024-05-11T00:00:00.000","FORD","LL",,"BLK","GFRD78","FL","701 N. Sacramento","(773) 265-7605","7090551"
"2024-05-11T00:00:00.000","FORD","LL",,"GRN","RMJ8826","TX","10300 S. Doty","(773) 568-8495","2969072"
"2024-05-11T00:00:00.000","FORD","VN",,"BLU","EB14314","IL","400 E. Lower Wacker","(312) 744-7550","0302739"
"2024-05-11T00:00:00.000","HOND","4D",,"SIL","DS79600","IL","701 N. Sacramento","(773) 265-7605","7090529"
"2024-05-11T00:00:00.000","HOND","4D",,"GRY","CM91165","IL","10300 S. Doty","(773) 568-8495","2969057"
"2024-05-11T00:00:00.000","HOND","4D",,"RED","EC74380","IL","701 N. Sacramento","(773) 265-7605","7090585"
"2024-05-11T00:00:00.000","HOND","4D",,"BLK","EJ89692","IL","10300 S. Doty","(773) 568-8495","2969056"
"2024-05-11T00:00:00.000","HOND","4T",,"SIL","CS84880","IL","701 N. Sacramento","(773) 265-7605","7090517"
"2024-05-11T00:00:00.000","HOND","4T",,"BLU","DC92586","IL","701 N. Sacramento","(773) 265-7605","7090567"
"2024-05-11T00:00:00.000","HOND","4T",,"RED","KBG6742","OH","701 N. Sacramento","(773) 265-7605","7090558"
"2024-05-11T00:00:00.000","HOND","4T",,"GRY","EH69724","IL","701 N. Sacramento","(773) 265-7605","7090575"
"2024-05-11T00:00:00.000","HOND","4T",,"BLK","H209136","IL","701 N. Sacramento","(773) 265-7605","7090546"
"2024-05-11T00:00:00.000","HOND","VN",,"SIL","912AB925","IL","400 E. Lower Wacker","(312) 744-7550","0302737"
"2024-05-11T00:00:00.000","HYUN","4D",,"WHI","BT75637","IL","701 N. Sacramento","(773) 265-7605","7090588"
"2024-05-11T00:00:00.000","HYUN","4D",,"GRY","EH35691","IL","701 N. Sacramento","(773) 265-7605","7090586"
"2024-05-11T00:00:00.000","HYUN","4D",,"BLK","F3V347","KY","10300 S. Doty","(773) 568-8495","2969081"
"2024-05-11T00:00:00.000","HYUN","4D",,"BLK","CA38812","IL","400 E. Lower Wacker","(312) 744-7550","0302722"
"2024-05-11T00:00:00.000","HYUN","4T",,"RED","DY45544","IL","10300 S. Doty","(773) 568-8495","2969076"
"2024-05-11T00:00:00.000","HYUN","4T",,"WHI","BE52092","IL","701 N. Sacramento","(773) 265-7605","7090532"
"2024-05-11T00:00:00.000","HYUN","4T",,"SIL","009713A9","IL","701 N. Sacramento","(773) 265-7605","7090539"
"2024-05-11T00:00:00.000","HYUN","4T",,"SIL","CE60059","IL","10300 S. Doty","(773) 568-8495","2969069"
"2024-05-11T00:00:00.000","HYUN","4T",,"BLK","ED85401","IL","701 N. Sacramento","(773) 265-7605","7090549"
"2024-05-11T00:00:00.000","HYUN","4T",,"BLU","R896185","IL","701 N. Sacramento","(773) 265-7605","7090582"
"2024-05-11T00:00:00.000","HYUN","LL",,"GRY","IX248","IN","400 E. Lower Wacker","(312) 744-7550","0302738"
"2024-05-11T00:00:00.000","HYUN","LL",,"GRY","DE52041","IL","10300 S. Doty","(773) 568-8495","2969058"
"2024-05-11T00:00:00.000","HYUN","LL",,"BLK","DD19715","IL","701 N. Sacramento","(773) 265-7605","7090579"
"2024-05-11T00:00:00.000","JEEP","LD",,"SIL","SXR0779","TX","701 N. Sacramento","(773) 265-7605","7090580"
"2024-05-11T00:00:00.000","JEEP","LL",,"WHI","CU78176","IL","701 N. Sacramento","(773) 265-7605","7090552"
"2024-05-11T00:00:00.000","JEEP","LL",,"BLK",,"IL","701 N. Sacramento","(773) 265-7605","2969073"
"2024-05-11T00:00:00.000","JEEP","LL",,"BLK","EH70368","IL","701 N. Sacramento","(773) 265-7605","7090498"
"2024-05-11T00:00:00.000","JEEP","LL",,"WHI","970MYR","WI","701 N. Sacramento","(773) 265-7605","7090493"
"2024-05-11T00:00:00.000","JEEP","LL",,"SIL","DY83267","IL","10300 S. Doty","(773) 568-8495","2969070"
"2024-05-11T00:00:00.000","JEEP","LL","TK","BLU","Z328218","IL","701 N. Sacramento","(773) 265-7605","7090570"
"2024-05-11T00:00:00.000","JEEP","LL",,"WHI","BP87464","IL","701 N. Sacramento","(773) 265-7605","7090536"
"2024-05-11T00:00:00.000","JEEP","LL",,"GRY","ZZT734","IL","701 N. Sacramento","(773) 265-7605","7090523"
"2024-05-11T00:00:00.000","JEEP","LL",,"BLK",,"IL","10300 S. Doty","(773) 568-8495","2969055"
"2024-05-11T00:00:00.000","JEEP","LL",,"GRY","AM53689","IL","400 E. Lower Wacker","(312) 744-7550","0302748"
"2024-05-11T00:00:00.000","JEEP","PK",,"BLK","3278768B","IL","701 N. Sacramento","(773) 265-7605","7090521"
"2024-05-11T00:00:00.000","KAWK","MC",,"BLK",,"IL","10300 S. Doty","(773) 568-8495","2969051"
"2024-05-11T00:00:00.000","KIA","4D",,"BLK","EN13007","IL","10300 S. Doty","(773) 568-8495","2969059"
"2024-05-11T00:00:00.000","KIA","4D",,"GRY","BV63533","IL","701 N. Sacramento","(773) 265-7605","7090591"
"2024-05-11T00:00:00.000","KIA","4T",,"WHI","AF37293","IL","701 N. Sacramento","(773) 265-7605","7090559"
"2024-05-11T00:00:00.000","KIA","4T",,"GRY","DN35114","IL","701 N. Sacramento","(773) 265-7605","7090511"
"2024-05-11T00:00:00.000","KIA","4T",,"MAR","DZ98076","IL","701 N. Sacramento","(773) 265-7605","7090566"
"2024-05-11T00:00:00.000","KIA","LL",,"BLK","DT69570","IL","701 N. Sacramento","(773) 265-7605","7090499"
"2024-05-11T00:00:00.000","LEXS","LL",,"BLK","EA19265","IL","701 N. Sacramento","(773) 265-7605","7090544"
"2024-05-11T00:00:00.000","LINC","4T",,"BLU","DD87160","IL","701 N. Sacramento","(773) 265-7605","7090513"
"2024-05-11T00:00:00.000","MAZD","4D",,"DBL","340467","IL","400 E. Lower Wacker","(312) 744-7550","0302746"
"2024-05-11T00:00:00.000","MAZD","4T",,"MAR","CY15569","IL","701 N. Sacramento","(773) 265-7605","7090505"
"2024-05-11T00:00:00.000","MAZD","4T",,"WHI","689LKC","KY","701 N. Sacramento","(773) 265-7605","7090507"
"2024-05-11T00:00:00.000","MAZD","4T",,"WHI","CV13843","IL","701 N. Sacramento","(773) 265-7605","7090553"
"2024-05-11T00:00:00.000","MAZD","LL",,"WHI","CE71758","IL","701 N. Sacramento","(773) 265-7605","7090535"
"2024-05-11T00:00:00.000","MAZD","LL",,"BLU","ER43402","IL","10300 S. Doty","(773) 568-8495","2969068"
"2024-05-11T00:00:00.000","MAZD","VN",,"BLU","CT53383","IL","701 N. Sacramento","(773) 265-7605","7090508"
"2024-05-11T00:00:00.000","MERC","LL",,"BLK","BV13098","IL","701 N. Sacramento","(773) 265-7605","7090512"
"2024-05-11T00:00:00.000","MERZ","LL",,"SIL","EC98695","IL","10300 S. Doty","(773) 568-8495","2969060"
"2024-05-11T00:00:00.000","MINI","2T",,"WHI","DE80732","IL","701 N. Sacramento","(773) 265-7605","7090573"
"2024-05-11T00:00:00.000","MITS","LL",,"RED","CD75127","IL","701 N. Sacramento","(773) 265-7605","7090518"
"2024-05-11T00:00:00.000","NISS","4D",,"GRY","DH38797","IL","701 N. Sacramento","(773) 265-7605","7090574"
"2024-05-11T00:00:00.000","NISS","4D",,"GRY","CX56799","IL","10300 S. Doty","(773) 568-8495","2969080"
"2024-05-11T00:00:00.000","NISS","4T",,"SIL","CS22715","IL","701 N. Sacramento","(773) 265-7605","7090565"
"2024-05-11T00:00:00.000","NISS","4T",,"WHI","BT50040","IL","701 N. Sacramento","(773) 265-7605","7090542"
"2024-05-11T00:00:00.000","NISS","4T",,"BLK","DL22540","IL","701 N. Sacramento","(773) 265-7605","7090509"
"2024-05-11T00:00:00.000","NISS","4T",,"GRY","CK39461","IL","701 N. Sacramento","(773) 265-7605","7090556"
"2024-05-11T00:00:00.000","NISS","4T",,"GRY","NXJ727","IA","701 N. Sacramento","(773) 265-7605","7090534"
"2024-05-11T00:00:00.000","NISS","4T",,"BLK","BP17477","IL","701 N. Sacramento","(773) 265-7605","7090522"
"2024-05-11T00:00:00.000","NISS","LL",,"TAN","H984966","IL","701 N. Sacramento","(773) 265-7605","7090496"
"2024-05-11T00:00:00.000","NISS","LL",,"WHI","DT27940","IL","400 E. Lower Wacker","(312) 744-7550","0302751"
"2024-05-11T00:00:00.000","NISS","SW",,"WHI","LBS995","IA","701 N. Sacramento","(773) 265-7605","7090543"
"2024-05-11T00:00:00.000","NISS","SW",,"GRY","EP77775","IL","701 N. Sacramento","(773) 265-7605","7090501"
"2024-05-11T00:00:00.000","NISS","SW",,"SIL","EG98544","IL","701 N. Sacramento","(773) 265-7605","7090545"
"2024-05-11T00:00:00.000","NISS","SW",,"BLK","DR75589","IL","701 N. Sacramento","(773) 265-7605","7090524"
"2024-05-11T00:00:00.000","NISS","VN",,"GLD","EB88066","IL","701 N. Sacramento","(773) 265-7605","7090528"
"2024-05-11T00:00:00.000","PONT","2T",,"RED","7761WS","IL","701 N. Sacramento","(773) 265-7605","7090564"
"2024-05-11T00:00:00.000","PORC","4D",,"BLK","DU31125","IL","701 N. Sacramento","(773) 265-7605","7090589"
"2024-05-11T00:00:00.000","SUBA","4T",,"BLU","BZ58027","IL","701 N. Sacramento","(773) 265-7605","7090527"
"2024-05-11T00:00:00.000","TESI","4T",,"BLU","36679EL","IL","701 N. Sacramento","(773) 265-7605","7090538"
"2024-05-11T00:00:00.000","TOYT","2T",,"BLK","BH81527","IL","701 N. Sacramento","(773) 265-7605","7090516"
"2024-05-11T00:00:00.000","TOYT","4D",,"BLU","CT33422","IL","701 N. Sacramento","(773) 265-7605","7090571"
"2024-05-11T00:00:00.000","TOYT","4D",,"DGR","EM62033","IL","10300 S. Doty","(773) 568-8495","2969064"
"2024-05-11T00:00:00.000","TOYT","4D",,"RED","LKE393","IL","701 N. Sacramento","(773) 265-7605","7090578"
"2024-05-11T00:00:00.000","TOYT","4T",,"MAR","KDL3614","PA","701 N. Sacramento","(773) 265-7605","7090525"
"2024-05-11T00:00:00.000","TOYT","4T",,"BLU","CT74467","IL","701 N. Sacramento","(773) 265-7605","7090502"
"2024-05-11T00:00:00.000","TOYT","4T",,"GRN","EH26371","IL","701 N. Sacramento","(773) 265-7605","7090550"
"2024-05-11T00:00:00.000","TOYT","4T",,"BLK","AU22733","IL","701 N. Sacramento","(773) 265-7605","7090506"
"2024-05-11T00:00:00.000","VOLK","4D",,"WHI","EP11283","IL","10300 S. Doty","(773) 568-8495","2969063"
"2024-05-11T00:00:00.000","VOLK","4D",,"LBL","BV55911","IL","10300 S. Doty","(773) 568-8495","2969061"
"2024-05-11T00:00:00.000","VOLK","4T",,"RED","LORD5WS","IL","701 N. Sacramento","(773) 265-7605","7090537"
"2024-05-11T00:00:00.000","VOLK","4T",,"GRY","EK44683","IL","701 N. Sacramento","(773) 265-7605","7090533"
"2024-05-11T00:00:00.000","VOLK","LL",,"BLU","EM74558","IL","701 N. Sacramento","(773) 265-7605","7090510"
"2024-05-11T00:00:00.000","VOLK","LL",,"BLK","38028EL","IL","701 N. Sacramento","(773) 265-7605","7090500"
"2024-05-11T00:00:00.000","VOLK","SW",,"RED","EA57437","IL","701 N. Sacramento","(773) 265-7605","7090554"
"2024-05-11T00:00:00.000","YAMA","MC",,"BLU",,"IL","10300 S. Doty","(773) 568-8495","2969050"
"2024-05-10T00:00:00.000","AUDI","4D",,"BLK","DT21259","IL","701 N. Sacramento","(773) 265-1846","1547416"
"2024-05-10T00:00:00.000","AUDI","4D",,"BLK",,"IL","701 N. Sacramento","(773) 265-7605","7090482"
"2024-05-10T00:00:00.000","BMW","4T",,"BGE","CT18136","IL","701 N. Sacramento","(773) 265-7605","7090452"
"2024-05-10T00:00:00.000","BUIC","4D",,"BLK","DDV3119","MI","701 N. Sacramento","(773) 265-7605","7090462"
"2024-05-10T00:00:00.000","BUIC","4T",,"BLK","DW53398","IL","701 N. Sacramento","(773) 265-7605","7090460"
"2024-05-10T00:00:00.000","CHEV","4D",,"BLU","CZ29864","IL","10300 S. Doty","(773) 568-8495","2969038"
"2024-05-10T00:00:00.000","CHEV","4D",,"TAN","CX95255","IL","701 N. Sacramento","(773) 265-1846","1547412"
"2024-05-10T00:00:00.000","CHEV","4T",,"GRY","CU56469","IL","701 N. Sacramento","(773) 265-7605","7090456"
"2024-05-10T00:00:00.000","CHEV","4T",,"BLK","EB98382","IL","701 N. Sacramento","(773) 265-7605","7090451"
"2024-05-10T00:00:00.000","CHEV","LL",,"GRY","16710AFT","WI","10300 S. Doty","(773) 568-8495","2969046"
"2024-05-10T00:00:00.000","CHEV","LL",,"BLK","Y886185","IL","701 N. Sacramento","(773) 265-7605","7090483"
"2024-05-10T00:00:00.000","CHEV","LL","TK","WHI","EM38679","IL","701 N. Sacramento","(773) 265-7605","7090474"
"2024-05-10T00:00:00.000","CHEV","LL",,"RED","BL19273","IL","701 N. Sacramento","(773) 265-7605","7090480"
"2024-05-10T00:00:00.000","CHEV","LL",,"BLK",,"IL","701 N. Sacramento","(773) 265-7605","7090473"
"2024-05-10T00:00:00.000","CHEV","PK",,"BLK",,"IL","10300 S. Doty","(773) 568-8495","2969032"
"2024-05-10T00:00:00.000","CHEV","PK",,"GRY","TZR998","AL","701 N. Sacramento","(773) 265-7605","7090472"
"2024-05-10T00:00:00.000","DODG","4D",,"BLK",,"IL","10300 S. Doty","(773) 568-8495","2969048"
"2024-05-10T00:00:00.000","DODG","4D",,"BLK","AUX7840","WI","10300 S. Doty","(773) 568-8495","2969029"
"2024-05-10T00:00:00.000","DODG","4D","DAR","BLU",,"IL","701 N. Sacramento","(773) 265-7605","7090486"
"2024-05-10T00:00:00.000","DODG","LL",,"BLU",,"IL","10300 S. Doty","(773) 568-8495","2969034"
"2024-05-10T00:00:00.000","DODG","LL",,"GRY","DQ78795","IL","701 N. Sacramento","(773) 265-7605","7090455"
"2024-05-10T00:00:00.000","FORD","4D",,"BLU","ER31212","IL","701 N. Sacramento","(773) 265-7605","7090457"
"2024-05-10T00:00:00.000","FORD","LL",,"BLK","BZ15641","IL","701 N. Sacramento","(773) 265-1846","1547414"
"2024-05-10T00:00:00.000","FORD","LL","TK","GRY","BE48484","IL","10300 S. Doty","(773) 568-8495","2969043"
"2024-05-10T00:00:00.000","FORD","LL",,"BLU","BV30447","IL","701 N. Sacramento","(773) 265-7605","7090485"
"2024-05-10T00:00:00.000","FORD","LL",,"BLU","UVQ619","IN","701 N. Sacramento","(773) 265-7605","7090484"
"2024-05-10T00:00:00.000","FORD","LL",,"WHI",,"IL","10300 S. Doty","(773) 785-9752","1726343"
"2024-05-10T00:00:00.000","FORD","VN",,"WHI","3887024B","IL","10300 S. Doty","(773) 568-8495","2969041"
"2024-05-10T00:00:00.000","GMC","LL",,"BLU","EN49673","IL","10300 S. Doty","(773) 785-9752","1726337"
"2024-05-10T00:00:00.000","GMC","LL",,"BLU",,"IL","10300 S. Doty","(773) 568-8495","2696035"
"2024-05-10T00:00:00.000","GMC","LL",,"MAR","8487346","IL","701 N. Sacramento","(773) 265-1846","1547409"
"2024-05-10T00:00:00.000","HOND","2D",,"BLK","DX69396","IL","10300 S. Doty","(773) 785-9752","1726335"
"2024-05-10T00:00:00.000","HOND","4D",,"BLK","DS60830","IL","701 N. Sacramento","(773) 265-7605","7090469"
"2024-05-10T00:00:00.000","HOND","4D",,"GRY","DV73145","IL","400 E. Lower Wacker","(312) 744-7550","0302639"
"2024-05-10T00:00:00.000","HOND","LL",,"GRY","BT64544","IL","701 N. Sacramento","(773) 265-7605","7090490"
"2024-05-10T00:00:00.000","HYUN","4D",,"BLK","P718103","IL","701 N. Sacramento","(773) 265-7605","7090478"
"2024-05-10T00:00:00.000","HYUN","4D",,"TAN","DE86963","IL","701 N. Sacramento","(773) 265-1846","1547415"
"2024-05-10T00:00:00.000","HYUN","4D",,"BLU","CF97693","IL","701 N. Sacramento","(773) 265-1846","1547413"
"2024-05-10T00:00:00.000","HYUN","LL",,"GRY","CJ19082","IL","10300 S. Doty","(773) 568-8495","2969030"
"2024-05-10T00:00:00.000","HYUN","LL",,"BLK","S497546","IL","701 N. Sacramento","(773) 265-7605","7090461"
"2024-05-10T00:00:00.000","INFI","4D",,"GRY","DX28856","IL","10300 S. Doty","(773) 568-8495","2969042"
"2024-05-10T00:00:00.000","INFI","4D",,"WHI","NBP618","MN","10300 S. Doty","(773) 568-8495","2969047"
"2024-05-10T00:00:00.000","INFI","4D",,"BLK","3699074","IN","10300 S. Doty","(773) 568-8495","2969044"
"2024-05-10T00:00:00.000","INFI","4D",,"BLU","BF15038","IL","10300 S. Doty","(773) 568-8495","2969045"
"2024-05-10T00:00:00.000","JEEP","LL",,"BLK","EJ15956","IL","701 N. Sacramento","(773) 265-7605","7090466"
"2024-05-10T00:00:00.000","JEEP","LL",,"BLK",,"IL","10300 S. Doty","(773) 568-8495","2969036"
"2024-05-10T00:00:00.000","JEEP","LL",,"WHI","347CVK","IN","10300 S. Doty","(773) 568-8495","2969049"
"2024-05-10T00:00:00.000","JEEP","LL",,"BLK","Q127290","IL","701 N. Sacramento","(773) 265-7605","7090471"
"2024-05-10T00:00:00.000","JEEP","LL","TK","BLK","EB88304","IL","701 N. Sacramento","(773) 265-7605","7090468"
"2024-05-10T00:00:00.000","JEEP","LL",,"BLK","DA95340","IL","400 E. Lower Wacker","(312) 744-7550","0302625"
"2024-05-10T00:00:00.000","KIA","4D",,"WHI",,"IL","10300 S. Doty","(773) 785-9752","1726336"
"2024-05-10T00:00:00.000","KIA","4D",,"GRY","BGB279","MN","701 N. Sacramento","(773) 265-1846","1547408"
"2024-05-10T00:00:00.000","KIA","LL",,"GRY","CM5011","IL","701 N. Sacramento","(773) 265-1846","1547410"
"2024-05-10T00:00:00.000","LEXS","4D",,"GRY","CX39917","IL","10300 S. Doty","(773) 568-8495","2969031"
"2024-05-10T00:00:00.000","LINC","LL",,"WHI",,"IL","10300 S. Doty","(773) 568-8495","2969033"
"2024-05-10T00:00:00.000","MERC","LL",,"SIL","CC82637","IL","701 N. Sacramento","(773) 265-1846","1547411"
"2024-05-10T00:00:00.000","MERZ","4D",,"BLK",,"IL","10300 S. Doty","(773) 785-9752","1726342"
"2024-05-10T00:00:00.000","MERZ","LL",,"SIL","DA73909","IL","701 N. Sacramento","(773) 265-7605","7090470"
"2024-05-10T00:00:00.000","MITS","LL",,"GRY","DD39508","IL","701 N. Sacramento","(773) 265-7605","7090489"
"2024-05-10T00:00:00.000","MITS","LL",,"GRN","EQ69827","IL","10300 S. Doty","(773) 568-8495","2969039"
"2024-05-10T00:00:00.000","NISS","4D",,"SIL","DL6580R","IL","701 N. Sacramento","(773) 265-7605","7090475"
"2024-05-10T00:00:00.000","NISS","4D",,"BLK","CH35445","IL","10300 S. Doty","(773) 568-8495","2969037"
"2024-05-10T00:00:00.000","NISS","4D",,"BLK","DP59538","IL","10300 S. Doty","(773) 568-8495","2969040"
"2024-05-10T00:00:00.000","NISS","LL",,"GRY","KMB8576","NC","701 N. Sacramento","(773) 265-7605","7090479"
"2024-05-10T00:00:00.000","NISS","LL",,"BLK","SF11478","GA","701 N. Sacramento","(773) 265-7605","7090492"
"2024-05-10T00:00:00.000","NISS","SW",,"GRY","DP32716","IL","701 N. Sacramento","(773) 265-7605","7090459"
"2024-05-10T00:00:00.000","SUBA","SW",,"LGR","DY28571","IL","701 N. Sacramento","(773) 265-7605","7090454"
"2024-05-10T00:00:00.000","TOYT","4D",,"BLK","EL96343","IL","701 N. Sacramento","(773) 265-7605","7090453"
"2024-05-10T00:00:00.000","TOYT","4D",,"TRQ",,"IL","701 N. Sacramento","(773) 265-1846","1547417"
"2024-05-10T00:00:00.000","TOYT","4D",,"BLK","AB64897","IL","701 N. Sacramento","(773) 265-7605","7090463"
"2024-05-10T00:00:00.000","TOYT","4D",,"SIL","ED49857","IL","701 N. Sacramento","(773) 265-7605","7090458"
"2024-05-10T00:00:00.000","TOYT","4D",,"GRY","EE38669","IL","701 N. Sacramento","(773) 265-7605","7090465"
"2024-05-10T00:00:00.000","TOYT","4D",,"RED","H582148","IL","701 N. Sacramento","(773) 265-7605","7090467"
"2024-05-10T00:00:00.000","TOYT","4D",,"GRY","RCJ6430","NC","400 E. Lower Wacker","(312) 744-7550","302651"
"2024-05-10T00:00:00.000","TOYT","4D",,"TAN","ER63397","IL","701 N. Sacramento","(773) 265-7605","7090487"
"2024-05-10T00:00:00.000","TOYT","4D",,"BLK","EC56900","IL","701 N. Sacramento","(773) 265-7605","7090464"
"2024-05-10T00:00:00.000","TOYT","4T",,"GRN","DV41351","IL","701 N. Sacramento","(773) 265-7605","7090450"
"2024-05-10T00:00:00.000","TOYT","LL",,"SIL","BE56396","IL","701 N. Sacramento","(773) 265-7605","7090488"
"2024-05-10T00:00:00.000","TOYT","LL",,"WHI","L8DYH","WI","701 N. Sacramento","(773) 265-7605","7090491"
"2024-05-10T00:00:00.000",,"BT",,"BLU",,"IL","701 N. Sacramento","(773) 265-7605","7090476"
"2024-05-10T00:00:00.000",,"OB",,"BLU",,,"701 N. Sacramento","(773) 265-7605","7090477"
"2024-05-10T00:00:00.000",,"UT",,"BLK",,"IL","701 N. Sacramento","(773) 265-7605","7090481"
"2024-05-09T00:00:00.000","BMW","4D",,"BLK","CS49996","IL","701 N. Sacramento","(773) 265-7605","7090420"
"2024-05-09T00:00:00.000","BUIC","4D",,"RED",,,"10300 S. Doty","(773) 568-8495","2969000"
"2024-05-09T00:00:00.000","CADI","4D",,"CRM","CG90992","IL","701 N. Sacramento","(773) 265-7605","7090406"
"2024-05-09T00:00:00.000","CHEV","4D",,"GRY","EJ19789","IL","10300 S. Doty","(773) 568-8495","2969028"
"2024-05-09T00:00:00.000","CHEV","4D",,"BLK","DV21507","IL","701 N. Sacramento","(773) 265-7605","7090408"
