"purchase_order_description","purchase_order_contract_number","revision_number","specification_number","contract_type","start_date","end_date","approval_date","department","vendor_name","vendor_id","address_1","address_2","city","state","zip","award_amount","procurement_type","contract_pdf"
"DPD-ARP-CAP:","193501","3","1242024","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","WESTSIDE HEALTH AUTHORITY","22686520T","ATTN: BUSINESS OFFICE/J. REED","5417 W DIVISION STREET EFT","CHICAGO","IL","60651","-110197",,
"1265338A: ISW BRONZEVILLE CORRIDOR IMPROVEMENTS: 47TH STREET,  S. PRAIRIE AVENUE TO S. EVANS AVE. 
(SBI)","261644","0","1265338A","CONSTRUCTION-LARGE $3MILLIONorABOVE",,,"2024-05-09T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","PAN-OCEANIC ENGINEERING CO INC","95584874P","6436 W HIGGINS AVENUE EFT",,"CHICAGO","IL","60656","8218640.8","BID",
"P-2017-10 Sewer Improvements Various Locations","58582","21","306257","CONSTRUCTION-GENERAL",,,"2024-05-09T00:00:00.000","DEPARTMENT OF WATER MANAGEMENT","PAN-OCEANIC ENGINEERING CO INC","95584874P","6436 W HIGGINS AVENUE EFT",,"CHICAGO","IL","60656","16642","BID",
"DPD-ARP-CAP:","231756","1","1242024","DELEGATE AGENCY","2023-05-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","NORTHWEST SIDE CDC","105478915L","5233 W DIVERSEY AVE",,"CHICAGO","IL","60639","146868","RFP",
"REPAIR OF SPRINGS AND SUSPENSION COMPONENTS FOR CITY OWNED VEHICLES AND EQUIPMENT","49569","4","131241","WORK SERVICES / FACILITIES MAINT.","2017-03-01T00:00:00.000","2025-08-30T00:00:00.000","2024-05-09T00:00:00.000","DEPT OF FLEET AND FACILITY MANAGEMENT","BUS & TRUCK OF CHICAGO, INC","95644507E","7447 S CENTRAL AVE STE B",,"BEDFORD PARK","IL","60638","0","BID",
"CBRN DETECTION AND ID RELATED EQUIPMENT - NEW PARTS, SUPPLIES AND REPAIRS (GROUPS N AND Q)","31008","7","121969","WORK SERVICES / FACILITIES MAINT.","2015-06-01T00:00:00.000","2025-11-27T00:00:00.000","2024-05-09T00:00:00.000","FIRE DEPARTMENT","W S DARLEY & COMPANY","95279797E","325 SPRING LAKE DR",,"ITASCA","IL","60143","0","BID",
"DPD-ARP-CAP:","190679","5","1242024","DELEGATE AGENCY","2022-05-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","BACK OF THE YARDS NEIGHBORHOOD COUNCIL","102479506V","1823 W 47TH ST FL 2ND",,"CHICAGO","IL","60609","97163","RFP",
"DPD-ARP-CAP:","193224","3","1242024","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","PUERTO RICAN CULTURAL CENTER","55226227V","LIZETTE SOPOMAYOR","2739 W DIVISION ST","CHICAGO","IL","60622","-115868.7",,
"FIRE EXTINGUISHER SERVICES AND FIRE SUPPRESSION SYSTEM
SERVICES","130155","1","859766","WORK SERV-AVIATION","2020-06-05T00:00:00.000","2025-06-04T00:00:00.000","2024-05-09T00:00:00.000","DEPT OF AVIATION","JOHNSON CONTROLS FIRE PROTECTION LP","102619766Z","DEPT CH 10320 (EFT)",,"PALATINE","IL","60055-0320","0","BID",
"DFSS-ECBG-CS-CEL:","113857","6","1070196","DELEGATE AGENCY","2019-12-01T00:00:00.000","2024-05-10T00:00:00.000","2024-05-09T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","ALBANY PARK COMMUNITY CENTER, INC","22098831L","5101 N KIMBALL AVE",,"CHICAGO","IL","60625","0",,
"DPD-ARP-CAP:","198394","5","1242024","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","MAGNIFICENT MILE ASSOCIATION","105457840Z","625 N MICHIGAN AVE STE 401",,"CHICAGO","IL","60611","-49113.5",,
"OMP Runway 9R-27L Extension - East, ORD(Spec 1190708)","129033","175","1190708","CONSTRUCTION-AVIATION",,,"2024-05-09T00:00:00.000","O'HARE MODERNIZATION PROGRAM","WALSH CONSTRUCTION COMPANY II, LLC.","93884405E","929 W ADAMS STREET EFT",,"CHICAGO","IL","60607","619416","BID",
"DPD-ARP-CAP:","193225","3","1242024","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH","102489050V","ST. PIUS V PARISH/HOPE","1919 S ASHLAND AVE","CHICAGO","IL","60608","-60956.3",,
"WPA Streets Infiltration Project","108016","7","688124A","CONSTRUCTION-LARGE $3MILLIONorABOVE",,,"2024-05-09T00:00:00.000","DEPARTMENT OF WATER MANAGEMENT","CAPITOL CEMENT CO INC","15244443L","6231-6233 N PULASKI RD",,"CHICAGO","IL","60646","22719.6","BID",
"STEEL DUMPSTERS-RENTAL AND DISPOSAL SERVICES","102547","1","411851A","WORK SERVICES / FACILITIES MAINT.","2019-07-12T00:00:00.000","2027-07-11T00:00:00.000","2024-05-09T00:00:00.000","DEPT OF FLEET AND FACILITY MANAGEMENT","ALLIED WASTE TRANSPORTATION INC","105467595H","REPUBLIC SERVICES OF CHICAGO","2400 S LOOMIS ST","CHICAGO","IL","60608","0","BID",
"DPD-ARP-CAP:","193426","4","1242024","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","BACK OF THE YARDS NEIGHBORHOOD COUNCIL","102479506V","1823 W 47TH ST FL 2ND",,"CHICAGO","IL","60609","-26107.2",,
"1121263:  MORSE LUNT SEWER IMPROVEMENT PROJECT","149208","5","1121263","CONSTRUCTION-LARGE $3MILLIONorABOVE",,,"2024-05-09T00:00:00.000","DEPARTMENT OF WATER MANAGEMENT","RELIABLE CONTRACTING & EQUIPMENT COMPANY","105468043V","4100 S EMERALD AVENUE EFT",,"CHICAGO","IL","60609","89467.9","BID",
"CDPH-VIOLNCE PREV: PO 129058 B.U.I.L.D. INCORPORATED","220603","2","1195288","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPARTMENT OF HEALTH","BROADER.URBAN.INVESTMENT.L.D. INC","93734476Z","5100 W HARRISON ST",,"CHICAGO","IL","60644","-34993.3",,
"DOH-CORP-HCBA:","269361","0","1221547","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPARTMENT OF HOUSING","HISTORIC CHICAGO BUNGALOW (LISC)|CLEANED-UP","95251535P","FIFTH THIRD BANK #7240335765","175 W JACKSON BLVD","CHICAGO","IL","60604","195000",,
"CDPH-VIOLNCE PREV: PO 216245 Together Chicago Inc - Expanding Street Outreach and Violence Interruption Services - ARP","216245","5","1243129","DELEGATE AGENCY","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-08T00:00:00.000","DEPARTMENT OF HEALTH","TOGETHER CHICAGO INC","105457835H","222 S RIVERSIDE PLZ",,"CHICAGO","IL","60606","143925","RFP",
"DOH-HOME-CHDO-OS:","269169","0","1222401","DELEGATE AGENCY",,,"2024-05-08T00:00:00.000","DEPARTMENT OF HOUSING","SARAH'S CIRCLE","99253746H","4750 N SHERIDAN RD # 220",,"CHICAGO","IL","60640","50000",,
"DFSS-ECBG-CS-CEL:","205214","4","1070196","DELEGATE AGENCY",,,"2024-05-08T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","EASTER SEALS METROPOLITAN CHICAGO, INC.","74356010P","1939 W 13TH ST # 300",,"CHICAGO","IL","60608","-1907.4",,
"DOH-CORP-HCBA:","268452","1","1221547","DELEGATE AGENCY",,,"2024-05-08T00:00:00.000","DEPARTMENT OF HOUSING","HISTORIC CHICAGO BUNGALOW (LISC)|CLEANED-UP","95251535P","FIFTH THIRD BANK #7240335765","175 W JACKSON BLVD","CHICAGO","IL","60604","0",,
"BACP-070-ARP","251254","1","1279588","DELEGATE AGENCY","2024-02-01T00:00:00.000","2025-01-31T00:00:00.000","2024-05-08T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","FAR SOUTH COMMUNITY DEVELOPMENT CORPORATION","104099185M","9923 S HALSTED ST STE D",,"CHICAGO","IL","60628","34957","RFP",
"DFSS-IDHS-CS-CCO:","246432","1","1278053","DELEGATE AGENCY",,,"2024-05-08T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CHINESE AMERICAN SERVICE LEAGUE, INC.","30779553M","2141 S TAN CT FL 2ND",,"CHICAGO","IL","60616","22934",,
"East Taxiway Improvements at Chicago O'Hare International Airport - Spec 1281131","263824","0","1281131","CONSTRUCTION-AVIATION",,,"2024-05-08T00:00:00.000","DEPT OF AVIATION","F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC","102903767L","5515 N EAST RIVER ROAD EFT XX  2356",,"CHICAGO","IL","60656","78506834.3","BID",
"DFSS-IDHS-CS-CCO:","245759","1","1278053","DELEGATE AGENCY",,,"2024-05-08T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","NEW PISGAH MB CHURCH|CLEANED-UP","94315860Z","8130 S RACINE AVE",,"CHICAGO","IL","60620","11064",,
"DOH-CORP-TACIT:","269167","0","1278849","DELEGATE AGENCY",,,"2024-05-08T00:00:00.000","DEPARTMENT OF HOUSING","ACCESS LIVING OF METROPOLITAN CHICAGO","93427616P","614 W ROOSEVELT RD",,"CHICAGO","IL","60607","62280",,
"DFSS-IDHS-CS-CCO:","246423","1","1278053","DELEGATE AGENCY",,,"2024-05-08T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","ONWARD NEIGHBORHOOD HOUSE","99076561P","5413 W DIVERSEY AVENUE EFT",,"CHICAGO","IL","60639","82254",,
"DOH-CORP-TACIT:","269170","0","1278849","DELEGATE AGENCY",,,"2024-05-08T00:00:00.000","DEPARTMENT OF HOUSING","METROPOLITAN PLANNING COUNC 01","31303667L","220 S STATE ST STE 1800",,"CHICAGO","IL","60604","90000",,
"DFSS-IDHS-HL-ESH:","269251","0","1234607","DELEGATE AGENCY",,,"2024-05-08T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","Equitable Social Solutions, LLC","10586808","9200 Shelbyville Road, Suite 210",,"Louisville","KY","40222","9360589",,
"DOH-HOME-CHDO-OS:","269171","0","1222401","DELEGATE AGENCY",,,"2024-05-08T00:00:00.000","DEPARTMENT OF HOUSING","VOICE OF THE PEOPLE, INC.","93733611T","BLDG OPERATING","4861 N KENMORE AVENUE EFT","CHICAGO","IL","60640","50000",,
"CDPH-SPECIALPOP-CORR: PO 231408 Street Samaritans -Street Medicine","262931","1","1259919","DELEGATE AGENCY",,,"2024-05-08T00:00:00.000","DEPARTMENT OF HEALTH","Street Samaritans","10606036","2255 W Coulter St, Unit 2",,"Chicago","IL","60608","190000",,
"DPD-CORP-LIRI:","269168","0","1223899","DELEGATE AGENCY",,,"2024-05-08T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","GREATER RAVENSWOOD CHAMBER OF COMMERCE NFP","102703757V","1770 W BERTEAU AVE STE 101",,"CHICAGO","IL","60613","40302",,
"DFSS-IDHS-CS-CCO:","246425","1","1278053","DELEGATE AGENCY",,,"2024-05-08T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","SOUTH-EAST ASIA CENTER|CLEANED-UP","96606307L","1134 W AINSLIE EFT",,"CHICAGO","IL","60640","5528",,
"DFSS-CORP-YS-SYEP:","264295","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","ASIAN HUMAN SERVICES, INC.","38544823A","2838 W PETERSON AVE FL 1ST",,"CHICAGO","IL","60659","319815",,
"DFSS-CORP-YS-CB:","264069","0","1234841","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","AFTER-SCHOOL MATTERS, INC.|CLEANED-UP","72580818P","66 E RANDOLPH ST FL 1ST",,"CHICAGO","IL","60601","3276672",,
"DFSS-CORP-YS-SYEP:","264328","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","BRIGHTON PARK NEIGHBORHOOD COUNCIL","46806011L","4477 S ARCHER AVE",,"CHICAGO","IL","60632","533025",,
"DFSS-CORP-YS-CB:","264067","0","1234841","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","GARY COMER YOUTH CENTER, INC.","94781128E","7200 S INGLESIDE AVE",,"CHICAGO","IL","60619","61824",,
"DFSS-CORP-YS-SYEP:","264315","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","GARY COMER YOUTH CENTER, INC.","94781128E","7200 S INGLESIDE AVE",,"CHICAGO","IL","60619","426420",,
"DFSS-CORP-YS-CB:","264343","0","1234841","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","YOUTH ADVOCATE PROGRAM INC.","94198071L","2007 N 3RD ST",,"HARRISBURG","PA","17108","154560",,
"DFSS-CORP-YS-SYEP:","264325","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","URBAN INITIATIVES INC NFP","102462366H","650 WEST LAKE STREET",,"CHICAGO","IL","60661","426420",,
"DFSS-CORP-YS-CB:","264340","0","1234841","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","LAWRENCE HALL SCHOOL FOR BOYS","9004844V","FOR BOYS","4833 N FRANCISCO AVE","CHICAGO","IL","60625","92736",,
"DFSS-CORP-YS-CB:","264070","0","1234841","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","BACK OF THE YARDS NEIGHBORHOOD COUNCIL","102479506V","1823 W 47TH ST FL 2ND",,"CHICAGO","IL","60609","30912",,
"BACP-CORP-NBDC:","269055","0","1258323","DELEGATE AGENCY",,,"2024-05-07T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","PUERTO RICAN CULTURAL CENTER","93977356X","2739 W DIVISION STREET EFT",,"CHICAGO","IL","60622","25000",,
"DFSS-CORP-YS-SYEP:","264320","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","ONE ON ONE","1039849","PO BOX 5624",,"Chicago","IL","60680","426420",,
"DFSS-CORP-YS-SYEP:","264327","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","BACK OF THE YARDS NEIGHBORHOOD COUNCIL","102479506V","1823 W 47TH ST FL 2ND",,"CHICAGO","IL","60609","1599075",,
"DFSS-ARP-YS-SYEP:","231958","1","1235846","DELEGATE AGENCY","2023-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","METROPOLITAN FAMILY SERVICE","102603122X","SUITE 1000","SUITE 1000","CHICAGO","IL","60602","293630",,
"DFSS-CORP-YS-SYEP:","264297","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","COMMUNITY TELEVISION NETWORK","102597614X","2418 W BLOOMINGDALE AVE",,"CHICAGO","IL","60647","426410",,
"DFSS-CORP-YS-CB:","264065","0","1234841","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CENTER FOR COMPANIES THAT CARE","102610175T","815 W VAN BUREN ST FL 2ND",,"CHICAGO","IL","60607","61824",,
"BACP-CORP-NBDC:","218040","2","1258323","DELEGATE AGENCY","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","QUAD COMMUNITIES DVLPMNT CORP NFP","102609541V","4210 S BERKELEY AVE",,"CHICAGO","IL","60653","55000","RFP",
"DFSS-CORP-YS-SYEP:","264318","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","LAWRENCE HALL SCHOOL FOR BOYS","9004844V","FOR BOYS","4833 N FRANCISCO AVE","CHICAGO","IL","60625","426420",,
"DFSS-ARP-YS-CYSC:","187455","4","1235861","DELEGATE AGENCY","2022-04-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","LAWRENCE HALL SCHOOL FOR BOYS","9004844V","FOR BOYS","4833 N FRANCISCO AVE","CHICAGO","IL","60625","179834",,
"DFSS-CORP-YS-CB:","264339","0","1234841","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","BOYS & GIRLS CLUBS OF CHICAGO","24051664V","550 W VAN BUREN ST # 350",,"CHICAGO","IL","60607","92736",,
"CDPH-HIV-PREV: Community Development PO 91186 Puerto Rican Cultural Center","269153","0","842337","DELEGATE AGENCY",,,"2024-05-07T00:00:00.000","DEPARTMENT OF HEALTH","PUERTO RICAN CULTURAL CENTER","93977356X","2739 W DIVISION STREET EFT",,"CHICAGO","IL","60622","167708",,
"DFSS-CORP-YS-SYEP:","264319","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","LOGAN SQUARE. NEIGHBORHOOD ASSOCIATION.ASSOCIATION","5337426H","2840 N MILWAUKEE AVE",,"CHICAGO","IL","60618","319815",,
"DFSS-CORP-YS-CB:","264075","0","1234841","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","GIRLS IN THE GAME, NFP|CLEANED-UP","22267772H","1501 W RANDOLPH ST",,"CHICAGO","IL","60607","30912",,
"DFSS-CORP-YS-CB:","264338","0","1234841","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","BROADER.URBAN.INVESTMENT.L.D. INC","93734476Z","5100 W HARRISON ST",,"CHICAGO","IL","60644","123648",,
"DFSS-CORP-YS-SYEP:","264306","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","LE PENSEUR YOUTH & FAMILY SERVICES, INC.","25954405L","8550 S MANISTEE AVE",,"CHICAGO","IL","60617-3152","695118",,
"BACP-CORP-NBDC:","269057","0","1258323","DELEGATE AGENCY",,,"2024-05-07T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","CALUMET AREA INDUSTRIAL COMMISSIONS","31304958E","1000 E 111TH ST",,"CHICAGO","IL","60628","20000",,
"GRANT AGREEMENT, MP RESIDENCY","269144","0","1298531","COMPTROLLER-OTHER","2024-02-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-07T00:00:00.000","DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS","CHICAGO PUBLIC MEDIA, LLC","105464428M","848 E GRAND AVE",,"CHICAGO","IL","60611","100000",,
"DFSS-CORP-YS-SYEP:","264313","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CLARETIAN ASSOCIATES","105472863X","3039 E 91ST ST",,"CHICAGO","IL","60617","213210",,
"CDPH-RW-PA: PCHH-CDC PO 110216 HOWARD BROWN HEALTH CENTER","269155","0","1042731","DELEGATE AGENCY",,,"2024-05-07T00:00:00.000","DEPARTMENT OF HEALTH","HOWARD BROWN HEALTH CENTER","15183609E","4025 N SHERIDAN ROAD EFT",,"CHICAGO","IL","60613","90477",,
"DFSS-CORP-YS-CB:","264072","0","1234841","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CLARETIAN ASSOCIATES|CLEANED-UP","93175047L","9108 S BRANDON AVENUE EFT",,"CHICAGO","IL","60617","30912",,
"DFSS-CORP-YS-SYEP:","264301","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","THE URBAN ALLIANCE FOUNDATION, INC.","95134149M","29 S LA SALLE ST",,"CHICAGO","IL","60603","213210",,
"DFSS-ARP-YS-SYEP:","264348","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-07T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","BOYS & GIRLS CLUBS OF CHICAGO","105458927P","2102 W MONROE ST",,"CHICAGO","IL","60612","852840",,
