"id","permit_","permit_status","permit_milestone","permit_type","review_type","application_start_date","issue_date","processing_time","street_number","street_direction","street_name","work_type","work_description","building_fee_paid","zoning_fee_paid","other_fee_paid","subtotal_paid","building_fee_unpaid","zoning_fee_unpaid","other_fee_unpaid","subtotal_unpaid","building_fee_waived","building_fee_subtotal","zoning_fee_subtotal","other_fee_subtotal","zoning_fee_waived","other_fee_waived","subtotal_waived","total_fee","contact_1_type","contact_1_name","contact_1_city","contact_1_state","contact_1_zipcode","contact_2_type","contact_2_name","contact_2_city","contact_2_state","contact_2_zipcode","contact_3_type","contact_3_name","contact_3_city","contact_3_state","contact_3_zipcode","contact_4_type","contact_4_name","contact_4_city","contact_4_state","contact_4_zipcode","contact_5_type","contact_5_name","contact_5_city","contact_5_state","contact_5_zipcode","contact_6_type","contact_6_name","contact_6_city","contact_6_state","contact_6_zipcode","contact_7_type","contact_7_name","contact_7_city","contact_7_state","contact_7_zipcode","contact_8_type","contact_8_name","contact_8_city","contact_8_state","contact_8_zipcode","contact_9_type","contact_9_name","contact_9_city","contact_9_state","contact_9_zipcode","contact_10_type","contact_10_name","contact_10_city","contact_10_state","contact_10_zipcode","contact_11_type","contact_11_name","contact_11_city","contact_11_state","contact_11_zipcode","contact_12_type","contact_12_name","contact_12_city","contact_12_state","contact_12_zipcode","contact_13_type","contact_13_name","contact_13_city","contact_13_state","contact_13_zipcode","contact_14_type","contact_14_name","contact_14_city","contact_14_state","contact_14_zipcode","contact_15_type","contact_15_name","contact_15_city","contact_15_state","contact_15_zipcode","reported_cost","pin_list","pin1","pin2","pin3","pin4","pin5","pin6","pin7","pin8","pin9","pin10","community_area","census_tract","ward","xcoordinate","ycoordinate","latitude","longitude","location"
"2532209","100524712",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2014-01-21T00:00:00.000","2014-01-21T00:00:00.000","0","10000","N","BESSIE COLEMAN DR",,"DISCONNECT AND RECONNECT ELECTRICAL WIRING FOR NEW SIGNAGE1.) T1B.U.25.D2.)T1C.U.12.A3.)T2EF.U.12.A4.)T3HK.U.36.A","100","0","0","100","0","0","0","0","0","100","0","0","0","0","0","100","CONTRACTOR-ELECTRICAL","R. M. R. ELECTRIC INC.","ELGIN","IL","60120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000",,,,,,,,,,,,"76",,,,,,,
"2533623","100525397",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2014-01-28T00:00:00.000","2014-07-15T00:00:00.000","168","1518","E","HARPER CT",,"CHANGE NAME ELECTRICAL CONTRACTOR PERMIT#100505015","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","SUPERIOR ONE ELECTRIC, INC.","WESCHESTER","IL","60154-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,"41","4108","4",,,,,
"2548297","100533226",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2014-03-28T00:00:00.000","2014-07-15T00:00:00.000","109","2233","N","KENMORE AVE",,"APRIL, MAY AND JUNE MAINTENANCE","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","DEPAUL UNIVERSITY","CHICAGO","IL","60614-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"7","71000","32","1168965.3178496854","1915157.8810745182",,,
"881549","53697",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2001-08-08T00:00:00.000","2007-07-07T00:00:00.000","2159","404","W","MERCHANDISE MART PLZ",,"MAINTENANCE","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,
"2575058","100548515",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2014-07-02T00:00:00.000","2014-07-15T00:00:00.000","13","10850","S","TRUMBULL AVE",,"REPAIRING DAMAGED ELECTRICAL SERVICE FROM STORM DAMAGE","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","JOHN SOKOLOWSKI","PALOS HEIGHTS","IL","60463-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2000",,"24-14-409-028",,,,,,,,,,"74","740300","19","1155233.360746928","1832231.117993583",,,
"2665331","100599461",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2015-06-10T00:00:00.000","2015-06-11T00:00:00.000","1","2324","N","FREMONT ST",,"JULY, AUGUST AND SEPTEMBER MAINTENANCE","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","DEPAUL UNIVERSITY","CHICAGO","IL","60614-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"7","711","43",,,,,
"2736645","100638881",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2016-03-10T00:00:00.000","2016-03-15T00:00:00.000","5","2324","N","FREMONT ST",,"APRIL, MAY AND JUNE MAINTENANCE","75","0","0","75","0","0","0","0","0","75","0","0","0","0","0","75","CONTRACTOR-ELECTRICAL","DEPAUL UNIVERSITY","CHICAGO","IL","60614-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"7","711","43",,,,,
"2758401","100651905",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2016-05-25T00:00:00.000","2016-05-26T00:00:00.000","1","2233","N","KENMORE AVE",,"JULY, AUGUST AND SEPTEMBER MAINTENACE","75","0","0","75","0","0","0","0","0","75","0","0","0","0","0","75","CONTRACTOR-ELECTRICAL","DEPAUL UNIVERSITY","CHICAGO","IL","60614-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"7","71000","43","1168965.3178496854","1915157.8810745182",,,
"2772973","100660565",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2016-07-19T00:00:00.000","2016-07-19T00:00:00.000","0","1730","W","WRIGHTWOOD AVE",,"200 AMP TEMPORARY ELECTRICAL SERVICE FOR CONSTRUCTION","300","0","0","300","0","0","0","0","0","300","0","0","0","0","0","300","CONTRACTOR-ELECTRICAL","DEXTER ELECTRIC CO. INC.","NORTHBROOK","IL","60062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200",,,,,,,,,,,,"7","70700","32",,,,,
"2830195","100694650",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2017-03-09T00:00:00.000","2017-03-14T00:00:00.000","5","2324","N","FREMONT ST",,"APRIL, MAY AND JUNE MAINTENANCE","75","0","0","75","0","0","0","0","0","75","0","0","0","0","0","75","CONTRACTOR-ELECTRICAL","DEPAUL UNIVERSITY","CHICAGO","IL","60614-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"7","711","43",,,,,
"2832499","100696131",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2017-03-20T00:00:00.000","2017-03-20T00:00:00.000","0","150","N","RIVERSIDE PLZ",,"LOW VOLTAGE CABLING FOR 18TH & 25TH FLOOR BUILD OUTS.","150","0","0","150","0","0","0","0","0","150","0","0","0","0","0","150","CONTRACTOR-ELECTRICAL","PAUL M CARUSO","LOMBARD","IL","60148-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39600",,,,,,,,,,,,"28","2801","42",,,,,
"3017036","100808104",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2019-03-08T00:00:00.000","2019-03-12T00:00:00.000","4","2324","N","FREMONT ST",,"JULY, AUGUST, AND SEPTEMBER MAINTENANCE.","75","0","0","75","0","0","0","0","0","75","0","0","0","0","0","75","CONTRACTOR-ELECTRICAL","DEPAUL UNIVERSITY","CHICAGO","IL","60614-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"7","711","43",,,,,
"1668901","100106114",,,"PERMIT - SIGNS","SIGN PERMIT","2006-04-06T00:00:00.000","2006-04-06T00:00:00.000","0","6359","S","COTTAGE GROVE AVE",,"FRONT OF STORE 387166","168","0","0","168","0","0","0","0","0","168","0","0","0","0","0","168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"20-23-100-006",,,,,,,,,,,,,,,,,
"2975940","100783172",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2018-09-14T00:00:00.000","2018-09-18T00:00:00.000","4","2324","N","FREMONT ST",,"OCTOBER, NOVEMBER AND DECEMBER MAINTENANCE","75","0","0","75","0","0","0","0","0","75","0","0","0","0","0","75","CONTRACTOR-ELECTRICAL","DEPAUL UNIVERSITY","CHICAGO","IL","60614-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"7","711","43",,,,,
"2920479","100749040",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2018-02-27T00:00:00.000","2018-02-27T00:00:00.000","0","150","N","RIVERSIDE PLZ",,"INSTALLATION OF LOW VOLTAGE CCTV EQUIPMENT","75","0","0","75","0","0","0","0","0","75","0","0","0","0","0","75","CONTRACTOR-ELECTRICAL","REDHAWKSECSYSDBACHUBBSFIRE&SYS","BURR RIDGE","IL","60527",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10701",,,,,,,,,,,,"28","2801","42",,,,,
"2930379","100755256",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2018-04-04T00:00:00.000","2018-04-04T00:00:00.000","0","150","N","RIVERSIDE PLZ",,"LOW VOLTAGE PARTIAL VOICE / DATA BUILD-OUT ON 51ST FLOOR FOR COSTAR.","75","0","0","75","0","0","0","0","0","75","0","0","0","0","0","75","CONTRACTOR-ELECTRICAL","GIBSON ELECTRIC CO., INC.","DOWNERS GROVE","IL","60515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"28","2801","42",,,,,
