"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"b18d7310f158608d758c19e20581b7450654ff18ad1b9154879be159e4cddc8b3cacef3a5157d95c589a7b9f90a264aed313d88f9a72103bffc580ee9f90b935",,"2024-05-10T22:30:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","TURNING","UNKNOWN INTERSECTION TYPE",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,"Y","$501 - $1,500","2024-05-10T23:30:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","3400","W","HARRISON ST","1133",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","6","5","41.873736731","-87.710906003","POINT (-87.710906003482 41.873736730932)"
"ead667a65a063b1739cc4e21845996ca90b1a3169a95364d498764084f3aa3d2ef28d8689784b6afa167c89bc704e58845abe4458668e5ad08c49edb3b39c1b8",,"2024-05-10T22:29:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","ANGLE","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T22:50:00.000","FAILING TO YIELD RIGHT-OF-WAY","UNABLE TO DETERMINE","4749","N","KEELER AVE","1722",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","6","5","41.967840477","-87.732813169","POINT (-87.732813168926 41.967840477105)"
"0dc7a532a089310babae0bcb7c3fa58e349eeef91678fb2feb945480b2e516f22b6e6e64c1ccdc6fe06d5cf4a8b036682cbd396bf4ffa608313a1182d9fa4c17",,"2024-05-10T22:15:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T22:40:00.000","FOLLOWING TOO CLOSELY","UNABLE TO DETERMINE","2925","W","IRVING PARK RD","1733",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","6","5","41.953846932","-87.701842333","POINT (-87.701842332957 41.953846931844)"
"a035daaf967139189ea79872fc21cfc7315a39f1e74a273e339a97d9fb083f6c09aa5ee17b37f70b8acf4e5d558638f3ab91c3a5740ae0e704be000c0546350b",,"2024-05-10T22:00:00.000","30","TRAFFIC SIGNAL","UNKNOWN","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T22:38:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","2760","W","BELMONT AVE","1733",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","6","5","41.939503841","-87.697553265","POINT (-87.697553264882 41.939503841209)"
"4f0132f2f00a5f9e3f71ef9e8928a8174925e5bb073bd2dfb42139b6590dce131027c195e78323a63ba91af77b4e59ed283cab9c4846953fecfd107f441d9b94",,"2024-05-10T21:20:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2024-05-10T21:25:00.000","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","NOT APPLICABLE","8338","W","IRVING PARK RD","1614",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","21","6","5","41.952172091","-87.835790333","POINT (-87.835790332592 41.952172091206)"
"165a34adfaf971f189563d71f3003ef5ccc38c6710da58be1e20f6707fa8d6d5c8b69f416d109b4d928743f7d1d583ef966cbb5f098142a6bee4cb66f807908d",,"2024-05-10T20:51:00.000","25","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","ANGLE","T-INTERSECTION",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2024-05-10T20:51:00.000","FAILING TO YIELD RIGHT-OF-WAY","IMPROPER TURNING/NO SIGNAL","40","E","63RD ST","311",,,,,,,"2","INCAPACITATING INJURY","1","0","1","0","0","2","0","20","6","5","41.780121767","-87.623781376","POINT (-87.623781375556 41.780121767375)"
"5501d0e1455603ff17cc5e7ec856c5bdccef2e9a6bdc7e7103e5394720dff5aaefc5aa4cf9e26aa36a2f6f5b59f78d04b07de4533f4c61a24d0de57f6af8fc12",,"2024-05-10T20:51:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DUSK","PEDESTRIAN","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"$500 OR LESS","2024-05-10T20:51:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","3846","W","FLOURNOY ST","1133",,,,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","2","0","20","6","5","41.872688758","-87.722211574","POINT (-87.722211574298 41.872688758177)"
"8adc1a0f87bbfc72ed9e01c650856a0be245d65f54227464a5ecc60b0869fbaef1ff5ca5732d170e6e44f1020c701577d950036fe24e61b83ab536f4f94be9fd",,"2024-05-10T20:27:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T20:31:00.000","IMPROPER OVERTAKING/PASSING","NOT APPLICABLE","11900","S","HALSTED ST","524",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","6","5","41.677720829","-87.642051845","POINT (-87.642051844982 41.677720829248)"
"ee7f47321934a91e7dc1b6d74afa643d09c55bd3edfab959b2c6e0fc3c6e16cb0fc1c9839fc4108fb2e4d6ed6a000d6e81ad18f5390c95338df3f452c77d4cbf",,"2024-05-10T20:12:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,"Y","$501 - $1,500","2024-05-10T21:18:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","2252","S","CANAL ST","914",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","6","5","41.85113766","-87.638635922","POINT (-87.638635921601 41.85113766046)"
"69f56a8c7bdf662a8af1b8bd4de39d12e0643676b0b141a08dc492bce9a92ca323bd919e68fbfc7d617ad6d4aa92cb237ca65fe43e129e98171927962ff21810",,"2024-05-10T19:58:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","ANGLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2024-05-10T20:35:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","3800","W","NORTH AVE","2535",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","19","6","5","41.910049419","-87.721458084","POINT (-87.721458083886 41.91004941941)"
"c2bf41bc39d2fa7bfd0f9b09681d5a96b689a3b1f349f78c29b5a7bdb3b99fb06144d206f67f6ef5d2c2b626a7b1d8b676658eaba9a710bb503a29b1d5b6ad5a",,"2024-05-10T19:50:00.000","15","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T20:20:00.000","NOT APPLICABLE","NOT APPLICABLE","3235","W","47TH PL","821",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","19","6","5","41.806693331","-87.705263819","POINT (-87.705263819261 41.806693331014)"
"15bc48f646695ff727f21866b2680fdf26902b789139886ba8eafc5a5a2d12fe9403d849a5630eece3bd90a9668c88f6cf45030f5d7bef59471401f19294c611",,"2024-05-10T19:37:00.000","15","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","REAR TO SIDE","ALLEY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T21:00:00.000","IMPROPER BACKING","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","7168","W","CORTLAND ST","2513",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","7","0","19","6","5","41.914481201","-87.804994571","POINT (-87.804994571374 41.914481200753)"
"1bd78c0d4ecc1e5128fd93f330610219325ac09936d6e1574fa8c8465b09d0c044345689fc914802b39a55869457b119022159d38b51180ebaadeb057acb10e0","Y","2024-05-10T19:30:00.000","30","NO CONTROLS","NO CONTROLS","UNKNOWN","UNKNOWN","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-05-10T20:00:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","1831","N","KILDARE AVE","2534",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","19","6","5","41.914405165","-87.733648939","POINT (-87.733648939394 41.914405165116)"
"d5e64340648a4a478a00f75a15428bf76dbdd6c01d783d1c9a48ec1fd4d9d2c0931c42a987083734f267bfdf4c864cdf7f5bf1bbcbea5fd151a66aa9d6b982b1",,"2024-05-10T19:30:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-05-10T19:39:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","3826","N","HARLEM AVE","1631","Y",,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","19","6","5","41.949724316","-87.807308326","POINT (-87.807308325624 41.949724315913)"
"3e519829f0393c95a054ec2d090aa73f7caf36dc0ac57643507c5439bbfe64209dfa12eb95e796acea7c6ccd404b2ac585ae1702a681377aad0c9d691d986363",,"2024-05-10T19:29:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","FIXED OBJECT","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN",,"INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-05-10T19:45:00.000","PHYSICAL CONDITION OF DRIVER","NOT APPLICABLE","1200","E","67TH ST","321",,,,,,,"1","INCAPACITATING INJURY","1","0","1","0","0","1","0","19","6","5","41.773346506","-87.595965067","POINT (-87.595965067119 41.77334650619)"
"b0cdbf3cca98d5f02c7cd62b656e291b108847759a8d819831325ce8fc08dce0acc2b687f3a63453344bf47ad4fadc1f8ff2bbdc32419b822f85f4f243b0fff8",,"2024-05-10T19:22:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DUSK","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-05-10T19:37:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","6954","N","SHERIDAN RD","2431",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","5","0","19","6","5","42.008313942","-87.661953698","POINT (-87.661953698209 42.008313941721)"
"77abb5d726fe96b39bbe72ff7a21da51933d64ad66cb952249b5972a0f9407da1034a7afbcee0f80bdeb654eb5a4b6969225cf2839265c03585146bc4abf5bd4",,"2024-05-10T19:15:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","ANGLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T20:03:00.000","FAILING TO YIELD RIGHT-OF-WAY","NOT APPLICABLE","6800","S","PULASKI RD","833",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","19","6","5","41.769507221","-87.722673268","POINT (-87.72267326755 41.769507220616)"
"fec966bd26099bd1fa2601104a9612e19c77d0a42cb87c30735521dc0bcf25e118a23762a6dd969bd7c2b26a10864ef9ffd7ff4673c003057c2fef709d0c32ea",,"2024-05-10T19:14:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T19:40:00.000","FOLLOWING TOO CLOSELY","NOT APPLICABLE","4757","N","SIMONDS DR","1914","N",,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","19","6","5","41.969467412","-87.645497652","POINT (-87.645497652272 41.969467412036)"
"e964d56a159414f7201fc1de97fffc126947a791d339553ac0cf42860b3625b4993bdd2800199ce6cc671270ee826deafedbe84123300b848d464e9f67a03bc0",,"2024-05-10T19:05:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T19:55:00.000","FOLLOWING TOO CLOSELY","NOT APPLICABLE","7101","S","KEDZIE AVE","831",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","19","6","5","41.764298991","-87.702663979","POINT (-87.702663978997 41.764298991134)"
"746a61f033affd982199b0b4162f6bcc52546d401c2dbf07edad699795378e26cea4c380025d2395cb21e1b8c5cff3c9181b35cdcde2e18d3de885f10e64a441",,"2024-05-10T18:57:00.000","30","NO CONTROLS","NO CONTROLS","CLOUDY/OVERCAST","DAYLIGHT","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2024-05-10T19:10:00.000","FAILING TO REDUCE SPEED TO AVOID CRASH","UNABLE TO DETERMINE","1016","N","CALIFORNIA AVE","1211",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","18","6","5","41.899766654","-87.696949503","POINT (-87.696949503034 41.899766654415)"
"327143bde3e5ccdb9ac06c104ab8012478d12ea9dda22ba034b8e28bc7710d6f8377b412e2cb385a9e5c962464dd1c806c7a8b7a97f3ad118c10cc73950bee2e",,"2024-05-10T18:56:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T19:39:00.000","NOT APPLICABLE","NOT APPLICABLE","4007","W","63RD ST","813",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","18","6","5","41.778545143","-87.723094523","POINT (-87.723094522629 41.778545142946)"
"26890d91546c08cdf156587abc04e1db193560ac505e8f267dd5671e9572c2b5e19a57f3a4e5cbd39985218b26cc0b6dc264ff360bff568bf535687b19bec9f1",,"2024-05-10T18:49:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAWN","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2024-05-10T19:58:00.000","FAILING TO YIELD RIGHT-OF-WAY","IMPROPER TURNING/NO SIGNAL","6900","S","STATE ST","322",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","18","6","5","41.769103975","-87.625092283","POINT (-87.625092282754 41.769103975226)"
"3b07720b15869ca77d59c2de2be3dd633dae13134a3b40636bfd87c8316288e3bb0e200fa4776bed0d310921d70de781bee6a71cb4a6756ba3ac9599bed9887b",,"2024-05-10T18:45:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2024-05-10T20:50:00.000","FAILING TO YIELD RIGHT-OF-WAY","FAILING TO YIELD RIGHT-OF-WAY","135","N","MENARD AVE","1512",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","18","6","5","41.883212491","-87.769716313","POINT (-87.76971631268 41.883212490868)"
"482c89f99e8524c2bf30bf10543425fe6ee67dd7938837fae114845b8db4dce5419210422b493f1af765a4acf1669bc665865c4b83ee1c0acb692d1e5acad894",,"2024-05-10T18:32:00.000","15","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","PARKED MOTOR VEHICLE","ALLEY",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","$500 OR LESS","2024-05-10T19:10:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","5920","N","RIDGE AVE","2013",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","18","6","5","41.98949132","-87.669871029","POINT (-87.669871028555 41.989491320211)"
